44.00
10/Sep/2025	14:53:39	8000
2.00	44.00

Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6
-517137.53125	-154611.734375	517243.28125	-120138.5546875	-517360.46875	-167346.84375
-517951.84375	-146887.140625	517333.3125	-116783.609375	-517312.625	-206890.640625
-517196.40625	-126644.9609375	517526.84375	-106045.0703125	-517343.75	-242173.28125
-517786.53125	-93277.9453125	517537.34375	-88796.5625	-517285.8125	-272623.1875
-517419.09375	-51387.58984375	517848.90625	-66200.96875	-517302.9375	-297913.53125
-517617.21875	-6925.95361328125	517804.75	-39513.12109375	-517274.34375	-317590.375
-517686.15625	35160.01953125	517984.15625	-9977.9638671875	-517269	-331234.875
-517576.0625	70790.9140625	518122.21875	21328.302734375	-517291.84375	-338491.09375
-517798.8125	100332.3203125	517611.125	53589.35546875	-517294.875	-339215.625
-517597.75	127719.9765625	518614.625	86213.0625	-517315.53125	-333514.34375
-517719.65625	156229.34375	517120.71875	118727.4453125	-517371.53125	-321622.1875
-517707.40625	185570.875	518914.4375	150951.15625	-517342.28125	-304014.71875
-517458.4375	213235.46875	517249.90625	182848.1875	-517459.40625	-281354.78125
-517961.625	236674.71875	518082.9375	214181.078125	-517392	-254439.171875
-517232.75	252256	519084.0625	244754.203125	-517500.0625	-224190.78125
-518167.6875	257558.234375	514748.125	274236.125	-517528.59375	-191530.9375
-517276.1875	252384.484375	525516.625	301971.40625	-517440.03125	-157369.8125
-517867.28125	237181.53125	444260.25	327265.90625	-517771.90625	-122727.3359375
-518080.5	214049.671875	252496.25	349395.1875	-517305.625	-88505.625
-516442.5625	186673.984375	59174.37890625	367552.5	-518042.75	-55295.6953125
-520916.875	158251.453125	-123082.5390625	380934.9375	-517203.03125	-23675.65625
-473481.28125	130607.515625	-315770.59375	388948.34375	-518302.28125	5829.44384765625
-374338.75	104462.484375	-481432.71875	391092.875	-515703.84375	33007.3359375
-288412.28125	79965.4140625	-525329.5625	387063.3125	-488830.25	57740.26171875
-211439.8125	56444.92578125	-513905.0625	376901.03125	-451213.40625	79893.40625
-142898.546875	32126.3984375	-520357.0625	360699.53125	-415191.34375	99470.84375
-86281.09375	5775.41650390625	-516848.03125	338873.96875	-375901.4375	116424.7890625
-37768.625	-22788.8671875	-518277.90625	312165.28125	-336175.125	130533.7734375
-215.207565307617	-52653.66015625	-518238.59375	281393.875	-294538.09375	141528.640625
30131.45703125	-81002.234375	-517503.65625	247467.46875	-251408.625	149103.34375
53625.74609375	-104919.2734375	-518513.34375	211252.796875	-207150.75	152988.125
73709.265625	-123718.6953125	-517574.46875	173637.59375	-161312.15625	152873.296875
92913.703125	-139233.09375	-518261.34375	135349.71875	-114636.96875	148428.015625
111910.7734375	-154697.078125	-517848.03125	96995.8046875	-66840.4921875	139520.46875
132775.9375	-174046.734375	-517883.78125	59092.90234375	-18504.09375	126125.9921875
156434.328125	-200947.453125	-517746.09375	21852.775390625	30567.59375	108322.1796875
181999.671875	-235957.15625	-517527.78125	-14675.0537109375	79689.46875	86255.6875
210668.953125	-275695.9375	-517486.53125	-50316.5078125	129126.3671875	60151.95703125
242289.625	-314146.75	-517292.15625	-84983.4765625	178135.234375	30484.14453125
275132.28125	-344944.78125	-517244.90625	-118877.5859375	226733.171875	-2344.564453125
309379.59375	-364568.6875	-517245.78125	-152138.4375	275358.1875	-37831.1484375
343529.96875	-373523.40625	-517245.78125	-184905.90625	322758.5	-75492.5859375
377102.375	-374940.625	-517245.78125	-217237.96875	371694.65625	-114953.375
409708.03125	-372214.90625	-517243.25	-249050.96875	418270.03125	-155402.609375
437916.3125	-367686.9375	-517304.8125	-280049.65625	468311.25	-197016.25
461693.46875	-360639.96875	-517504.46875	-309581.125	510775.03125	-238681.75
481314.21875	-346454.28125	-517522.625	-337030.59375	519282.65625	-280609.25
493585.875	-320308.21875	-517787.96875	-361765.34375	516820.9375	-322309.6875
