0.00
10/Sep/2025	14:53:39	8000
2.00	0.00

Channel 1	Channel 2	Channel 3	Channel 4
-212374.078125	-520865.25	33794.34765625	52404.1171875
-202835.75	-521762.09375	49055.51953125	51959.41796875
-189495.1875	-520572.21875	63964.66015625	51431.28515625
-173752.28125	-522046.9375	78255.203125	50877.76953125
-157334.40625	-517737.71875	91771.6796875	50276.79296875
-141444.765625	-491910.75	104388.0703125	49564.61328125
-126035.546875	-456839.25	115855.1953125	48806.54296875
-110240.9921875	-420571.125	125952.9296875	47910.96484375
-93235.3984375	-380392.21875	134481.328125	46891.47265625
-75044.9140625	-339220.8125	141272.78125	45770.890625
-56858.09765625	-296540.71875	146145.984375	44438.1953125
-39833.23046875	-253487.28125	149015.328125	42897.36328125
-24772.091796875	-210662.84375	149853.109375	41027.44140625
-11670.27734375	-168458.65625	148686.6875	38790.125
210.287902832031	-127716.4375	145702.609375	36177.06640625
11546.21875	-88626.5078125	141066.5625	33144.73046875
21925.169921875	-51848.85546875	134971.765625	29702.4765625
29443.6640625	-17532.18359375	127687.71875	25803.193359375
33651.984375	13943.5107421875	119400.0546875	21455.576171875
35047.59765625	42409.20703125	110217.296875	16673.0234375
34183.296875	67812.0234375	100399.921875	11508.5234375
33427.11328125	90056.4921875	90068.1796875	6018.9326171875
34239.06640625	109354.2421875	79283.0859375	314.452514648438
36081.71875	125887.3203125	68207.0234375	-5506.4912109375
37125.125	139733.609375	56928.0390625	-11367.041015625
34898.625	151277.78125	45632.546875	-17190.318359375
28573.271484375	160777.921875	34475.0078125	-22938.90234375
18981.109375	168350.78125	23641.806640625	-28498.748046875
9306.8935546875	174206.703125	13357.412109375	-33844.51953125
3238.34375	178560.796875	3778.01245117188	-38900.5625
1220.52990722656	181496.578125	-4939.90576171875	-43611.10546875
1353.09375	182989.15625	-12596.671875	-48004.046875
-33.656120300293	183184.40625	-19072.77734375	-52026.6796875
-6374.466796875	181968.84375	-24316.740234375	-55673.7890625
-17774.720703125	179291.765625	-28183.0546875	-58902.46875
-31535.28515625	175182.921875	-30610.93359375	-61714.25390625
-43631.28515625	169540.703125	-31619.875	-64098.1796875
-50722.328125	162463.15625	-31195.5390625	-65990.59375
-52395.7109375	153944.453125	-29413.359375	-67301.6640625
